Blechdicke,Transportdauer,Blechtemperatur,Umformdauer,Umformkraft,Abstand,Formtemperatur,Bauteilhärte
0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.3546209674193
1.0,1.0,1.0,1.0,1.0,1.0,1.0,434.2874227386915
0.062169455638700855,0.7331796743161334,0.6781483914642195,0.24206439268058128,0.0487587636925693,0.0062192716845642084,0.19978181730213185,423.82142388887064
0.1688652007385992,0.31294895385779997,0.9358227767881203,0.9989994859896387,0.9079015906509533,0.809405775767079,0.9259191717494955,480.31322260336674
0.014924930679101042,0.7333739352074867,0.9378804439828196,0.39449375886537996,0.12226876513018001,0.28707226199975633,0.368051820161759,435.6884066081183
0.19938453912100124,0.8407448084971201,0.7867008167220001,0.4257451471863487,0.3477785440145733,0.5647216117757579,0.9229025806881408,392.6224211855043
0.3073537334064011,0.03701362292605334,0.11991116608679932,0.616926620777175,0.25999220980562604,0.7254616420980632,0.25894283512378174,470.6656105028166
0.9076327181694991,0.6749446916230866,0.7645800856125198,0.34503477102506996,0.7291616928566134,0.8520561486179368,0.7115974513668499,435.98287732067917
0.2245466260656002,0.18594442706101333,0.5312161753568398,0.2771658964668038,0.15378372636173068,0.09726943895103791,0.5017777750074637,463.7501280161633
0.49459525984909947,0.35600011355398,0.45314543948665914,0.9900636018537774,0.8016739066387266,0.6760027802207368,0.04007852741443226,452.68956696226195
0.2419675771130001,0.8389407803026333,0.7600615544717197,0.3119543719689337,0.5296752032836533,0.530499314673879,0.9355643101828047,391.4491650592803
0.0010022276563015345,0.45255962493832674,0.5497077481530209,0.20210491156406374,0.08646172260297734,0.9639867035616367,0.18353602947324094,451.8717823067827
0.47566979223309946,0.6820152690085534,0.5231303568965404,0.22462539288574124,0.9659287851369266,0.2806066491276458,0.44913060823211365,434.82052454593617
0.6247598785118996,0.8960854251376001,0.7717885037029396,0.7458387741089713,0.17171719544142003,0.4994889305324632,0.7301037707869409,403.88130010742793
0.660551677857199,0.9608979014531733,0.678030799648759,0.05580204914720627,0.9249067171757467,0.05008935553192632,0.7410165028677591,392.4550351515989
0.533142053253401,0.9459879183472599,0.9269649214545006,0.475307236361325,0.03409023486691535,0.16474247935972317,0.06677729097487543,419.913059135673
0.8309223690846005,0.41480656336651334,0.010405645715939044,0.08405048165075873,0.32249709725479997,0.24641126465736632,0.08706681245405273,421.12180385532986
0.8079513678704002,0.6863006421095067,0.1798409826578609,0.9019936120008163,0.7495111884656,0.49422368155903157,0.8810675905564319,392.6558682024146
0.08417542099869994,0.5908203952999868,0.14955908205180093,0.4073960058445637,0.3244006086409967,0.5804933219894053,0.2355289276134273,420.04871662726606
0.21516019237210118,0.5589214076024267,0.026027473448680213,0.12955050034081877,0.8242014556048267,0.03607280418731368,0.2379213259017773,406.7445665248113
0.46218137947709975,0.8697621318777,0.5336878757741601,0.2856813028951537,0.53294589299238,0.2909768656821532,0.6389877551018591,388.8202002384657
0.9058535143893002,0.3269859274281,0.002449826571560152,0.730181564169235,0.199022586718816,0.5908535545086315,0.8069351392389726,441.7105225519688
0.6029966408464998,0.46445503464739324,0.28530145298100024,0.13917786262117876,0.6209360055410866,0.8829575321420104,0.32967762628544994,430.99459998176565
0.2839050781866012,0.31554238390575334,0.674001489459481,0.5667282868051488,0.5482642529353934,0.6493457512216841,0.9989976650923453,462.0117837131672
